most_info_gvm_print,most_info_gv_emails,most_info_gvm_website,most_info_gv_publications,most_info_media,most_info_wordofmouth_alumni,most_info_socialmedia,most_info_lanthorn,most_info_other,info_text,where_read,num_issues,website_enjoy_likert,website_navigate_likert,website_design_likert,website_connected_likert,website_proud_likert,print_enjoy_likert,print_design_likert,print_connected_likert,print_proud_likert,gvsu_engagement,num_articles,drive_to_website,website_only,website_engagment,website_engagment_text,action_saved_article,action_discussed_article,action_recommended_gv,action_attended_event,action_donated,action_visited_website,action_contacted_classmate,action_shared_article_social_media,action_shared_article_email,action_none,opting,comments,age,relation_alumni,relation_undergrad,relation_grad,relation_family_undergrad,relation_faculty,relation_family_faculty,relation_donor,relation_other,relation_text,avid_reader,key_pop,num_actions
1,1,1,NA,NA,1,1,NA,NA,NA,Both,3,5,5,5,5,5,5,5,5,5,Neutral,5,NA,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Alumni over 35,2
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,1,3,3,3,3,3,3,3,3,3,Neutral,2,Social Media,I don't know/I'm not sure,I don't use the website,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,1,NA,NA,NA,GVM Website,2,5,5,5,5,5,3,3,3,3,Neutral,10,Email,Yes,It is currently engaging,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,2,NA,50-65,NA,NA,NA,NA,1,NA,NA,NA,NA,5-10+ Articles,Other,2
NA,1,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,1,3,3,3,3,3,2,3,3,3,Neutral,1,Email,No,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,25-35,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
1,NA,1,NA,NA,1,NA,NA,NA,NA,Both,3,4,4,4,4,4,5,5,5,5,Agree,6,Link within printed Issue,No,Larger variety of content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,66+,1,NA,NA,NA,NA,NA,1,NA,NA,5-10+ Articles,Alumni over 35,1
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,2,3,4,5,5,5,5,5,5,5,Neutral,2,Link within printed Issue,I don't know/I'm not sure,I don't know/I'm not sure,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,17-24,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,2
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,3,5,5,5,4,5,5,5,5,5,Agree,3,Email,Yes,Larger variety of content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,2,4,3,3,4,3,4,4,4,3,Neutral,0,Link within printed Issue,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,66+,NA,NA,1,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,3,3,3,3,4,3,2,2,4,2,Disagree,2,NA,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,This school is going too woke.,36-49,1,NA,NA,NA,NA,NA,1,NA,NA,0-4 articles,Alumni over 35,1
NA,NA,NA,NA,NA,1,1,NA,NA,NA,Print issues,3,3,3,3,3,3,5,5,5,5,Agree,0,Social Media,Yes,I don't know/I'm not sure,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,3
NA,NA,NA,NA,NA,NA,1,NA,1,GVU website,I don't read the GVM,0,1,4,3,1,1,1,1,1,1,Disagree,0,Social Media,I don't know/I'm not sure,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,Funny…just received a copy and wondered if we’re being charged extra to receive it as I put it directly into recycling from the mailbox! I don’t even bother reading it…any info I need I just check the website.,50-65,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,4,3,4,Neutral,0,Word of Mouth,No,More specific recommendations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
1,1,1,NA,NA,NA,NA,NA,NA,NA,Both,3,3,3,3,4,5,5,4,5,5,Neutral,6,Email,No,Larger variety of content,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Alumni over 35,2
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Disagree,0,Email,Yes,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,5,5,5,5,5,3,3,3,3,Agree,10,Email,Yes,It is currently engaging,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,36-49,NA,NA,NA,1,NA,NA,NA,NA,NA,5-10+ Articles,Other,3
NA,1,1,NA,NA,NA,NA,NA,NA,NA,Both,2,4,4,4,4,4,5,4,5,5,Neutral,2,Email,Yes,I don't know/I'm not sure,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,"While I prefer the printed version, I have emailed to say I will help to save costs and read the digital version.  This is a nice alternative but I do prefer magazines always in print.",50-65,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 articles,Other,2
NA,1,1,NA,NA,NA,NA,1,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,0,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,No,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,I don't read the GVM,1,1,3,1,1,3,2,4,2,4,Disagree,1,Word of Mouth,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,17-24,1,NA,1,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,3,3,3,3,4,5,4,5,4,5,Neutral,1,Email,Yes,Other,More info on past grads.,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,2
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,1,3,5,5,4,4,3,4,3,3,Neutral,3,Email,Yes,Larger variety of content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,50-65,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 articles,Other,1
NA,NA,NA,NA,1,1,NA,NA,NA,NA,GVM Website,0,1,1,3,4,3,3,3,3,3,Agree,4,NA,Yes,More specific recommendations,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,1,No,66+,NA,NA,NA,1,NA,NA,1,NA,NA,0-4 articles,Other,4
1,1,NA,NA,NA,1,NA,NA,NA,NA,Both,2,4,4,4,4,3,3,4,5,4,Neutral,3,Word of Mouth,Yes,Larger variety of content,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,25-35,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,2
1,1,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,2,3,3,3,3,3,5,5,5,5,Neutral,0,Email,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
NA,1,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,1,3,4,4,3,3,3,3,3,4,Neutral,1,Social Media,Yes,It is currently engaging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
1,NA,NA,1,NA,NA,NA,NA,NA,NA,Both,3,3,3,3,3,2,3,3,2,2,Disagree,4,Link within printed Issue,No,Larger variety of content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,no,66+,1,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
1,NA,NA,1,1,NA,NA,NA,NA,NA,Print issues,3,1,3,3,1,1,5,5,5,5,Agree,0,NA,I don't know/I'm not sure,I don't use the website,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,66+,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,3,3,3,3,3,3,1,1,1,1,Agree,0,Link within printed Issue,I don't know/I'm not sure,I don't use the website,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,3
NA,1,NA,NA,NA,1,NA,NA,NA,NA,I don't read the GVM,0,4,3,3,2,3,1,3,3,2,Disagree,2,Word of Mouth,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,50-65,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,1,NA,NA,NA,Print issues,1,3,3,3,3,3,4,4,3,2,Neutral,0,Email,No,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,For the printed - we receive two.  Maybe check addresses and only send 1 per address,36-49,1,1,NA,NA,1,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,GVM Website,1,3,3,4,3,4,3,4,3,3,Agree,4,Social Media,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,3,3,3,3,3,3,2,3,3,3,Neutral,1,Word of Mouth,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,36-49,1,NA,NA,NA,1,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
1,1,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,2,3,3,3,3,3,4,5,3,4,Neutral,0,Email,No,I don't use the website,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,2,"I read it because it comes, but it is not that I wouldn't switch to reading a website.  I watch the football games and I am proud of my education there and the school.",66+,1,NA,NA,NA,NA,NA,1,NA,NA,0-4 articles,Alumni over 35,4
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,0,2,2,4,3,5,3,3,3,3,Agree,2,Social Media,Yes,More specific recommendations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,5,5,5,5,5,4,4,4,4,Agree,6,Email,Yes,It is currently engaging,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,2,NA,25-35,NA,NA,NA,NA,1,NA,NA,NA,NA,5-10+ Articles,Other,3
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,5,5,5,5,5,1,5,1,1,Agree,15,Email,Yes,It is currently engaging,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,5-10+ Articles,Other,2
NA,1,NA,NA,NA,1,1,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,0,NA,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,50-65,1,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
NA,1,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,0,Email,No,Other,Mail me a copy every time publication,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"Mail me copy of magazine, I don’t read mags or books off my phone",36-49,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Print issues,1,3,3,3,1,1,2,2,2,2,Disagree,4,NA,Yes,I don't know/I'm not sure,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,66+,NA,NA,NA,NA,NA,NA,NA,1,Live in the atea,0-4 articles,Other,2
1,1,NA,NA,1,NA,NA,NA,NA,NA,Both,3,5,5,5,5,5,5,5,5,5,Neutral,10,Link within printed Issue,Yes,It is currently engaging,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,2,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Alumni over 35,3
1,NA,1,NA,NA,NA,NA,NA,NA,NA,Both,3,5,4,4,4,4,5,5,5,5,Neutral,6,Email,Yes,It is currently engaging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Alumni over 35,1
NA,1,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,0,Social Media,No,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Both,2,4,2,4,4,4,4,5,4,4,Agree,3,Email,Yes,Easier navigation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,50-65,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 articles,Other,1
1,1,1,NA,NA,NA,NA,NA,NA,NA,Print issues,3,3,4,4,4,4,5,5,5,5,Agree,15,Link within printed Issue,No,Easier navigation,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,1,thank you,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Alumni over 35,4
1,1,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,1,1,3,3,3,3,3,3,3,3,Disagree,0,Social Media,No,I don't know/I'm not sure,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,25-35,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,1,1,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,0,Email,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,36-49,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
1,NA,NA,NA,NA,NA,NA,NA,1,NA,I don't read the GVM,3,3,3,3,3,3,3,3,3,3,Neutral,0,Word of Mouth,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,36-49,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,0,Email,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,1,NA,NA,NA,Both,1,3,4,3,4,4,4,4,4,4,Neutral,1,Email,Yes,It is currently engaging,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
1,1,1,NA,NA,NA,1,NA,NA,NA,Print issues,2,3,3,3,3,3,4,5,4,4,Agree,6,Email,I don't know/I'm not sure,I don't use the website,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,No,25-35,1,NA,1,NA,NA,NA,NA,NA,NA,5-10+ Articles,Other,2
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,GVM Website,1,3,5,5,4,4,3,4,3,3,Neutral,4,Social Media,Yes,It is currently engaging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,1,1,NA,NA,NA,NA,NA,NA,Both,3,5,5,5,5,5,5,5,5,5,Neutral,10,Link within printed Issue,Yes,It is currently engaging,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,no,50-65,NA,NA,NA,NA,1,NA,NA,NA,NA,5-10+ Articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,1,3,3,3,3,3,2,4,4,3,Neutral,0,Word of Mouth,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
1,1,1,NA,NA,NA,1,NA,NA,NA,Print issues,2,3,4,4,4,4,3,4,4,4,Neutral,2,Social Media,No,Other,Using social media to share articles,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,3
NA,1,NA,NA,NA,NA,1,NA,NA,NA,GVM Website,0,4,5,5,4,4,3,3,3,3,Neutral,7,Email,Yes,Larger variety of content,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,No,36-49,NA,NA,NA,1,NA,NA,NA,NA,NA,5-10+ Articles,Other,1
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,2,4,4,4,4,4,5,5,5,5,Agree,1,Email,Yes,More specific recommendations,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,25-35,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,3
1,1,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,3,4,4,4,4,5,5,5,5,5,Neutral,15,Link within printed Issue,I don't know/I'm not sure,I don't know/I'm not sure,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,66+,1,NA,NA,NA,NA,NA,1,NA,NA,5-10+ Articles,Alumni over 35,2
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,GVM Website,1,1,1,1,1,1,1,1,1,1,Neutral,7,Email,Yes,Easier navigation,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Other,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Print issues,1,5,5,5,3,5,2,3,2,2,Neutral,15,Social Media,Yes,It is currently engaging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,I feel it's a waste of $,50-65,NA,1,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Other,1
NA,1,NA,NA,NA,NA,1,NA,NA,NA,Print issues,2,3,3,3,3,3,4,5,3,3,Neutral,0,Social Media,No,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,17-24,NA,NA,1,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,1,NA,NA,1,NA,NA,NA,NA,GVM Website,0,5,5,5,3,4,3,3,3,3,Neutral,4,Email,Yes,It is currently engaging,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,25-35,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,1,NA,1,NA,NA,NA,NA,Both,1,3,3,3,3,3,3,3,3,3,Neutral,5,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Other,1
NA,1,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,0,Link within printed Issue,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,1,NA,NA,NA,NA,I don't read the GVM,1,4,3,3,4,3,3,3,4,2,Neutral,0,Social Media,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,50-65,NA,NA,1,NA,1,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,2,3,4,4,4,2,4,4,4,Neutral,2,Email,No,Other,"The publication is fine. I have limited time, and do not spend it reading the magazine. It is a workload/stress level issue.",NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,36-49,1,NA,NA,NA,1,NA,NA,NA,NA,0-4 articles,Alumni over 35,2
NA,1,1,NA,NA,NA,NA,NA,NA,NA,I don't read the GVM,0,3,3,3,4,4,3,3,3,3,Neutral,15,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,5-10+ Articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Both,2,3,4,3,3,3,4,4,3,3,Disagree,2,Social Media,No,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,50-65,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,Print issues,2,3,4,4,2,3,2,3,3,3,Disagree,4,Email,Yes,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,36-49,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,1,4,5,5,5,5,3,4,3,4,Agree,1,Email,Yes,Easier navigation,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,2
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,2,4,5,2,4,3,5,5,5,5,Agree,4,Social Media,I don't know/I'm not sure,Easier navigation,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,36-49,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,1,1,NA,NA,NA,Both,0,4,4,4,5,3,2,3,3,3,Agree,2,Word of Mouth,Yes,More specific recommendations,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,3
NA,NA,NA,NA,NA,1,NA,NA,NA,NA,Print issues,3,3,3,3,3,3,3,3,3,3,Agree,0,Word of Mouth,I don't know/I'm not sure,I don't use the website,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,NA,NA,NA,1,1,1,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,1,3,1,1,Disagree,1,Word of Mouth,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
1,1,NA,NA,NA,NA,1,NA,NA,NA,Print issues,2,3,3,3,3,3,5,5,5,5,Neutral,0,Social Media,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
1,1,1,1,1,1,1,NA,NA,NA,Print issues,3,1,3,4,2,2,4,4,2,2,Neutral,1,Word of Mouth,I don't know/I'm not sure,I don't know/I'm not sure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,36-49,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 articles,Other,1
NA,1,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,0,Link within printed Issue,No,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
NA,NA,NA,NA,NA,NA,NA,NA,1,I don't,I don't read the GVM,0,1,3,3,3,3,1,3,3,3,Disagree,0,Word of Mouth,I don't know/I'm not sure,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,4,4,5,5,4,3,3,3,3,Agree,7,Social Media,Yes,It is currently engaging,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,5-10+ Articles,Other,3
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,3,4,4,4,4,5,4,4,4,5,Neutral,4,Email,Yes,Easier navigation,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,50-65,NA,NA,NA,NA,1,NA,NA,NA,NA,0-4 articles,Other,2
1,NA,NA,NA,NA,NA,1,NA,NA,NA,Print issues,3,4,4,4,5,4,4,4,4,4,Neutral,0,NA,Yes,I don't use the website,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,36-49,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Alumni over 35,1
NA,1,1,NA,NA,NA,NA,NA,NA,NA,GVM Website,0,4,5,5,5,5,2,3,3,3,Agree,15,Email,Yes,I don't know/I'm not sure,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,25-35,1,NA,NA,NA,1,NA,1,NA,NA,5-10+ Articles,Other,2
NA,1,NA,NA,NA,NA,1,NA,NA,NA,I don't read the GVM,0,3,3,3,3,3,3,3,3,3,Neutral,0,Social Media,Yes,Other,Shorter articles,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,50-65,NA,NA,NA,1,NA,NA,NA,NA,NA,0-4 articles,Other,1
1,1,NA,NA,NA,NA,1,NA,NA,NA,GVM Website,0,4,4,4,4,4,3,3,3,3,Agree,4,Email,Yes,Larger variety of content,NA,1,1,1,NA,NA,NA,1,NA,1,NA,2,NA,17-24,NA,1,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,5
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Print issues,2,3,3,3,3,3,3,3,3,3,Neutral,0,Word of Mouth,No,I don't use the website,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,25-35,1,NA,NA,NA,NA,NA,NA,NA,NA,0-4 articles,Other,1
